00000100,brown shirts,34.43,300,0,0
10000011,green shorts,32.41,231,0,0
02234344,shaving cream,14.23,443,0,0
12341233,green beer,4.43,29,0,0
12100222,black shoes,67.41,94,0,0
12231222,coffee,10.23,99,0,0
10001222,black combs,1.43,23,0,0
14311222,printer red ink,43.43,745,0,0
02111222,scissors,24.55,12,0,0
13111222,red tape,4.03,45,0,0
14111222,black pens,2.43,32,0,0
15111222,red pens,1.43,134,0,0
16111222,pencils,0.43,231,0,0
17111222,hard drives,50.54,222,0,0
18111222,sofas,400.43,3,0,0
19111222,chairs,314.43,32,0,0
12001222,mp3 players,20.43,67,0,0
12111222,white shoes,44.53,62,0,0
12121222,pen drives,19.43,33,0,0
12131222,tooth paste,4.43,54,0,0
12141222,dental floss,4.53,12,0,0
12151222,hair brushes,36.43,44,0,0
12161222,alarm clocks,9.43,56,0,0
12171222,watches,87.43,11,0,0
12181222,tires,78.98,78,0,0
12191222,car oil,34.32,21,0,0
12111223,cooking oil,19.88,225,0,0
12111224,note books,6.55,21,0,0
12111225,vitamin A,18.99,4,0,0
12111222,vitamin C,21.87,55,0,0
12119222,vitamin B,17.83,3,0,0
12111222,vitamin d,12.32,12,0,0
12118222,zinc,20.56,56,0,0
12711222,coke,1.23,11,0,0
12111292,pepsi,1.23,76,0,0
12511222,scotch,60.43,33,0,0
12311222,bourbon,40.44,10,0,0
12191222,rum,32.43,30,0,0
12181222,dark beer,10.43,67,0,0
12171222,light beer,7.43,22,0,0
12161222,hats,21.44,12,0,0
12151222,capes,34.78,78,0,0
12131222,umbrellas,4.21,22,0,0